name,birthDate,deathDate,bio,memberID,nationality
Joseph Thomas,1988-02-09,,An acclaimed Screenwriter with a passion for writing.,JT1988,Spain
Mark Young,1975-06-23,,An acclaimed Actor with a passion for writing.,MY1975,USA
Sarah Johnson,1954-04-11,,An acclaimed Actor with a passion for writing.,SJ1954,Canada
Charles Smith,2001-08-25,,An acclaimed Screenwriter with a passion for singing.,CS2001,Australia
Elizabeth Thomas,1951-12-13,,An acclaimed Producer with a passion for painting.,ET1951,Canada
Anthony Brown,1952-06-16,,An acclaimed Producer with a passion for painting.,AB1952,Spain
Sandra Thomas,2021-12-20,,An acclaimed Screenwriter with a passion for painting.,ST2021,Spain
Lisa Lewis,1979-12-07,,An acclaimed Producer with a passion for photography.,LL1979,Germany
Richard Brown,1994-07-23,,An acclaimed Actor with a passion for singing.,RB1994,France
Linda Davis,1962-05-04,,An acclaimed Screenwriter with a passion for writing.,LD1962,Australia
Sarah Garcia,1975-06-16,,An acclaimed Composer with a passion for painting.,SG1975,UK
Michael Jones,2023-03-14,,An acclaimed Composer with a passion for photography.,MJ2023,Spain
David Young,1976-07-25,,An acclaimed Screenwriter with a passion for photography.,DY1976,France
Charles Moore,1973-10-05,,An acclaimed Composer with a passion for writing.,CM1973,Spain
Anthony Lee,1986-11-18,,An acclaimed Producer with a passion for photography.,AL1986,UK
Christopher Garcia,2017-04-12,,An acclaimed Producer with a passion for singing.,CG2017,France
Mary Taylor,1966-04-18,,An acclaimed Director with a passion for writing.,MT1966,Canada
Linda Hernandez,2018-01-05,,An acclaimed Producer with a passion for photography.,LH2018,UK
Thomas Jones,1982-10-17,,An acclaimed Composer with a passion for painting.,TJ1982,Australia
Linda Taylor,2011-05-11,,An acclaimed Composer with a passion for traveling.,LT2011,France
Nancy Martinez,2011-08-17,,An acclaimed Composer with a passion for singing.,NM2011,France
Nancy Taylor,1985-02-20,,An acclaimed Actor with a passion for painting.,NT1985,Canada
Michael Taylor,1961-10-01,,An acclaimed Director with a passion for singing.,MT1961,France
Karen Brown,1985-05-02,,An acclaimed Screenwriter with a passion for painting.,KB1985,Italy
Michael Brown,2020-03-07,,An acclaimed Producer with a passion for traveling.,MB2020,Spain
Mary Garcia,1959-02-22,,An acclaimed Director with a passion for photography.,MG1959,Spain
Nancy Lee,1954-10-12,,An acclaimed Actor with a passion for photography.,NL1954,Australia
Joseph Thompson,2012-06-02,,An acclaimed Producer with a passion for writing.,JT2012,Germany
Michael Jackson,2007-03-10,,An acclaimed Director with a passion for photography.,MJ2007,Italy
Mark Thomas,1963-10-25,,An acclaimed Actor with a passion for painting.,MT1963,France
Charles Anderson,1974-11-23,,An acclaimed Screenwriter with a passion for painting.,CA1974,UK
Susan Jackson,1995-05-08,,An acclaimed Composer with a passion for traveling.,SJ1995,Italy
Sarah Lewis,1974-06-05,,An acclaimed Director with a passion for writing.,SL1974,Canada
Charles Jackson,1959-10-03,,An acclaimed Screenwriter with a passion for photography.,CJ1959,Italy
Barbara Jackson,1979-05-05,,An acclaimed Screenwriter with a passion for painting.,BJ1979,Italy
Ashley Lee,2008-01-23,,An acclaimed Actor with a passion for singing.,AL2008,Australia
Ashley Davis,1988-01-26,,An acclaimed Producer with a passion for painting.,AD1988,Australia
Lisa Moore,1951-12-18,,An acclaimed Actor with a passion for painting.,LM1951,France
Patricia Robinson,1996-01-08,,An acclaimed Screenwriter with a passion for writing.,PR1996,France
Charles Miller,1971-02-18,,An acclaimed Director with a passion for painting.,CM1971,Spain
David Anderson,1991-01-10,,An acclaimed Director with a passion for painting.,DA1991,Canada
David Miller,1963-04-10,,An acclaimed Composer with a passion for writing.,DM1963,Spain
Robert Lewis,1950-09-23,,An acclaimed Producer with a passion for traveling.,RL1950,Spain
Mark Thomas,1978-11-08,,An acclaimed Composer with a passion for writing.,MT1978,UK
Patricia Thomas,1957-06-10,,An acclaimed Composer with a passion for singing.,PT1957,Spain
Matthew Robinson,1995-09-09,,An acclaimed Screenwriter with a passion for painting.,MR1995,France
Patricia Brown,1985-12-11,,An acclaimed Screenwriter with a passion for singing.,PB1985,Germany
Barbara Williams,1994-06-24,,An acclaimed Composer with a passion for painting.,BW1994,UK
Richard Davis,2001-06-17,,An acclaimed Actor with a passion for singing.,RD2001,Germany
John Martinez,2006-08-01,,An acclaimed Actor with a passion for painting.,JM2006,Spain
Anthony Thompson,1978-04-23,,An acclaimed Director with a passion for traveling.,AT1978,Spain
Jessica Allen,2003-12-02,,An acclaimed Composer with a passion for traveling.,JA2003,UK
John Brown,2013-11-05,,An acclaimed Producer with a passion for photography.,JB2013,Germany
William Clark,1965-12-22,,An acclaimed Producer with a passion for traveling.,WC1965,UK
Mary Thompson,2000-11-24,,An acclaimed Composer with a passion for traveling.,MT2000,Australia
Karen Hernandez,1963-07-16,,An acclaimed Composer with a passion for photography.,KH1963,France
Lisa Walker,1985-07-21,,An acclaimed Composer with a passion for painting.,LW1985,Canada
Sandra Davis,1980-04-14,,An acclaimed Composer with a passion for writing.,SD1980,Germany
Susan Wilson,2014-01-20,,An acclaimed Composer with a passion for traveling.,SW2014,Germany
Charles Lee,1952-08-08,,An acclaimed Producer with a passion for writing.,CL1952,UK
Nancy Allen,2007-10-27,,An acclaimed Composer with a passion for traveling.,NA2007,Australia
Thomas Thompson,1988-10-19,,An acclaimed Director with a passion for photography.,TT1988,Canada
Elizabeth Hall,1985-06-04,,An acclaimed Actor with a passion for painting.,EH1985,USA
Sarah Martin,1980-11-21,,An acclaimed Composer with a passion for photography.,SM1980,UK
Michael Walker,1994-11-12,,An acclaimed Producer with a passion for traveling.,MW1994,Germany
Christopher Taylor,1996-10-16,,An acclaimed Composer with a passion for traveling.,CT1996,Canada
Anthony White,1996-07-11,,An acclaimed Composer with a passion for painting.,AW1996,Spain
Charles Hernandez,2016-08-14,,An acclaimed Producer with a passion for singing.,CH2016,Spain
William Walker,1957-02-13,,An acclaimed Composer with a passion for singing.,WW1957,USA
Richard Clark,2016-03-22,,An acclaimed Producer with a passion for photography.,RC2016,Spain
Thomas Hernandez,1965-11-08,,An acclaimed Composer with a passion for photography.,TH1965,UK
Barbara Martinez,2019-04-19,,An acclaimed Producer with a passion for singing.,BM2019,Spain
Christopher Clark,2002-07-15,,An acclaimed Screenwriter with a passion for traveling.,CC2002,Spain
Robert Brown,1972-09-06,,An acclaimed Actor with a passion for painting.,RB1972,Canada
Joseph Walker,2009-07-13,,An acclaimed Producer with a passion for traveling.,JW2009,France
Barbara Walker,2023-02-04,,An acclaimed Composer with a passion for writing.,BW2023,Italy
Anthony Moore,1984-09-11,,An acclaimed Screenwriter with a passion for painting.,AM1984,France
Anthony Miller,1959-12-22,,An acclaimed Composer with a passion for painting.,AM1959,Canada
Mary Hernandez,1983-06-05,,An acclaimed Director with a passion for singing.,MH1983,Germany
Elizabeth Smith,1994-07-09,,An acclaimed Producer with a passion for painting.,ES1994,Germany
Christopher Moore,1989-05-08,,An acclaimed Director with a passion for photography.,CM1989,France
Elizabeth Martin,1982-12-19,,An acclaimed Composer with a passion for singing.,EM1982,Germany
Jennifer Walker,1979-08-18,,An acclaimed Producer with a passion for writing.,JW1979,UK
Mary Brown,1961-09-26,,An acclaimed Screenwriter with a passion for traveling.,MB1961,Italy
Nancy Thompson,1988-12-02,,An acclaimed Composer with a passion for photography.,NT1988,UK
Thomas Jones,2007-02-19,,An acclaimed Screenwriter with a passion for traveling.,TJ2007,USA
Jessica Davis,2010-09-10,,An acclaimed Composer with a passion for traveling.,JD2010,Spain
Ashley White,2010-02-16,,An acclaimed Producer with a passion for writing.,AW2010,Germany
Sarah Martinez,1991-01-25,,An acclaimed Producer with a passion for singing.,SM1991,USA
William Miller,1986-04-24,,An acclaimed Actor with a passion for traveling.,WM1986,Germany
Patricia Harris,2013-09-19,,An acclaimed Screenwriter with a passion for traveling.,PH2013,Germany
Nancy Young,1974-02-10,,An acclaimed Composer with a passion for writing.,NY1974,Canada
Charles Miller,2011-08-13,,An acclaimed Director with a passion for photography.,CM2011,Canada
Christopher Miller,1990-06-20,,An acclaimed Director with a passion for singing.,CM1990,France
Christopher Thomas,1964-11-26,,An acclaimed Producer with a passion for traveling.,CT1964,USA
Barbara Johnson,1973-10-22,,An acclaimed Producer with a passion for photography.,BJ1973,UK
Mark Hall,2006-07-12,,An acclaimed Director with a passion for singing.,MH2006,USA
Charles Brown,1996-10-10,,An acclaimed Screenwriter with a passion for traveling.,CB1996,Spain
Christopher Garcia,1954-03-03,,An acclaimed Producer with a passion for traveling.,CG1954,France
John Martin,2016-12-17,,An acclaimed Composer with a passion for photography.,JM2016,Germany
Elizabeth Smith,1956-11-01,,An acclaimed Actor with a passion for traveling.,ES1956,Italy
Lisa Young,1959-06-02,,An acclaimed Producer with a passion for painting.,LY1959,France
Susan Allen,1983-11-27,,An acclaimed Actor with a passion for writing.,SA1983,USA
Barbara Martinez,2001-11-01,,An acclaimed Director with a passion for singing.,BM2001,UK
Jennifer Jones,2009-07-23,,An acclaimed Producer with a passion for singing.,JJ2009,France
Patricia Martin,2018-07-04,,An acclaimed Producer with a passion for painting.,PM2018,France
Barbara Thomas,2001-07-27,,An acclaimed Producer with a passion for photography.,BT2001,Spain
Patricia Thomas,1989-02-12,,An acclaimed Producer with a passion for singing.,PT1989,Germany
Ashley Thompson,2005-03-17,,An acclaimed Composer with a passion for painting.,AT2005,Australia
Nancy Robinson,1957-07-06,,An acclaimed Actor with a passion for singing.,NR1957,Spain
Jessica Moore,1995-12-25,,An acclaimed Producer with a passion for writing.,JM1995,France
William Lewis,1952-08-19,,An acclaimed Director with a passion for traveling.,WL1952,Spain
Robert Miller,1986-01-27,,An acclaimed Screenwriter with a passion for singing.,RM1986,Italy
Michael Jackson,1958-10-08,,An acclaimed Screenwriter with a passion for singing.,MJ1958,Australia
Barbara White,2015-02-11,,An acclaimed Composer with a passion for singing.,BW2015,Canada
Michael Hall,1966-12-17,,An acclaimed Producer with a passion for painting.,MH1966,Italy
Robert Young,2010-12-20,,An acclaimed Actor with a passion for painting.,RY2010,Italy
Linda Davis,1956-09-15,,An acclaimed Producer with a passion for writing.,LD1956,USA
Sandra Thompson,1959-03-03,,An acclaimed Actor with a passion for singing.,ST1959,Canada
Sandra Jones,1993-01-11,,An acclaimed Screenwriter with a passion for singing.,SJ1993,Canada
Anthony Robinson,1959-11-16,,An acclaimed Screenwriter with a passion for traveling.,AR1959,Spain
Sarah Anderson,1954-05-28,,An acclaimed Composer with a passion for singing.,SA1954,Germany
Elizabeth Martinez,1967-01-09,,An acclaimed Screenwriter with a passion for traveling.,EM1967,Australia
James Wilson,1991-10-10,,An acclaimed Producer with a passion for writing.,JW1991,UK
Susan Jackson,1976-08-07,,An acclaimed Composer with a passion for singing.,SJ1976,UK
Sandra Williams,2022-12-26,,An acclaimed Composer with a passion for traveling.,SW2022,Germany
John Jackson,1970-06-11,,An acclaimed Producer with a passion for painting.,JJ1970,USA
James Hernandez,2008-11-12,,An acclaimed Composer with a passion for singing.,JH2008,Australia
Mary Davis,1971-12-10,,An acclaimed Composer with a passion for photography.,MD1971,France
Michael Taylor,1958-05-23,,An acclaimed Actor with a passion for writing.,MT1958,USA
Susan Thompson,2019-11-26,,An acclaimed Director with a passion for writing.,ST2019,UK
Patricia Young,1955-05-27,,An acclaimed Actor with a passion for photography.,PY1955,Australia
Margaret Walker,1973-03-08,,An acclaimed Composer with a passion for traveling.,MW1973,France
James Martinez,1961-07-06,,An acclaimed Producer with a passion for traveling.,JM1961,Canada
Barbara Robinson,2015-10-09,,An acclaimed Screenwriter with a passion for photography.,BR2015,Australia
Jennifer Hernandez,2008-12-20,,An acclaimed Producer with a passion for photography.,JH2008,UK
John Miller,1957-05-22,,An acclaimed Screenwriter with a passion for traveling.,JM1957,USA
John Martinez,1967-07-06,,An acclaimed Screenwriter with a passion for writing.,JM1967,Canada
Joseph Miller,2001-05-21,,An acclaimed Screenwriter with a passion for traveling.,JM2001,Canada
Matthew Lewis,1968-09-09,,An acclaimed Actor with a passion for photography.,ML1968,UK
James Hernandez,2019-04-02,,An acclaimed Screenwriter with a passion for painting.,JH2019,USA
Charles Lewis,1979-04-25,,An acclaimed Composer with a passion for writing.,CL1979,France
Mary Brown,1971-06-21,,An acclaimed Producer with a passion for singing.,MB1971,UK
John Wilson,1975-03-04,,An acclaimed Composer with a passion for traveling.,JW1975,France
Anthony Johnson,1995-06-09,,An acclaimed Screenwriter with a passion for traveling.,AJ1995,Italy
Lisa Thomas,1983-10-02,,An acclaimed Composer with a passion for writing.,LT1983,Spain
Thomas Lewis,2009-12-06,,An acclaimed Producer with a passion for singing.,TL2009,France
Linda Williams,1967-02-22,,An acclaimed Screenwriter with a passion for singing.,LW1967,Canada
Susan Jones,2004-05-12,,An acclaimed Screenwriter with a passion for writing.,SJ2004,Canada
Thomas Thompson,2009-03-16,,An acclaimed Director with a passion for singing.,TT2009,France
Christopher Rodriguez,1987-08-09,,An acclaimed Screenwriter with a passion for singing.,CR1987,Spain
