start_node_id,end_node_id,properties.Rating,properties.DateRated,properties.Recommended
Shelia Miller,Progressive next generation matrices,4,1997-4-17,True
Craig Watson,Devolved solution-oriented complexity,4,1996-4-26,False
Samantha Hernandez,Public-key zero tolerance encryption,4,2016-5-17,False
Renee Gomez,Operative optimal ability,5,1992-1-24,False
Brittany Sims,Advanced modular groupware,4,1999-3-19,False
Robert Dunlap,Open-source value-added ability,2,1996-12-3,True
Samuel Jackson,Realigned responsive approach,5,1993-7-25,True
Stephen Scott,Assimilated multimedia structure,4,2015-11-27,False
Monique Murphy,Profit-focused hybrid utilization,1,2009-12-26,False
Jerry Bowen,Assimilated even-keeled encoding,3,2013-3-26,True
Jacob Simmons,Secured needs-based policy,5,2007-1-20,True
Andrea Byrd,Open-architected transitional instruction set,1,1990-10-5,True
Steve Wilkerson,Decentralized high-level artificial intelligence,3,2009-3-14,True
Megan Harmon,Balanced eco-centric conglomeration,2,1991-3-19,False
Cathy Bell,Team-oriented optimal analyzer,1,1991-9-21,False
Michele Alvarado,Digitized contextually-based array,3,1993-10-20,False
Laura Nicholson,Pre-emptive grid-enabled migration,5,2000-10-22,False
Vanessa Ortiz,Balanced client-server encryption,1,2009-5-5,True
Cindy Ross,Cloned multi-state contingency,4,1990-6-13,False
Sandra Carson,Implemented system-worthy frame,1,2018-7-21,False
Ryan Cook,Open-architected clear-thinking intranet,4,2012-7-23,False
Kathleen Diaz,Persistent client-server artificial intelligence,3,1992-7-22,True
Tyler Bush,Visionary multi-tasking neural-net,4,1994-9-22,False
Kyle Burke,Compatible systemic throughput,3,2020-5-20,False
Lisa Porter,Streamlined non-volatile frame,3,1991-4-11,True
Vanessa Lewis,Intuitive fault-tolerant intranet,5,1995-9-20,False
Alexis White,Visionary intermediate approach,5,2007-10-14,False
Joel Johnson,Advanced leadingedge encryption,2,2001-3-10,True
Kevin Brown,Devolved interactive alliance,3,1995-6-25,False
Mrs. Nicole Stevens,Customizable scalable intranet,5,2008-8-18,True
Jessica Miller,Fundamental hybrid strategy,4,2017-11-28,False
Mr. Robert Hawkins,Multi-layered interactive moratorium,4,1995-1-18,True
Cindy Dunn,Mandatory systematic firmware,1,2006-8-9,False
Daniel Heath,Up-sized stable flexibility,2,2010-7-21,True
Karen Brown,Distributed logistical alliance,3,2001-4-23,False
Melissa Deleon,Persistent fresh-thinking algorithm,5,1990-10-4,True
Rebekah Miller,De-engineered bottom-line workforce,3,2014-7-21,True
Matthew Taylor,Devolved object-oriented info-mediaries,2,1992-2-24,False
Jennifer Robinson,Visionary logistical utilization,5,2004-4-26,True
Andrew Baker,Devolved object-oriented info-mediaries,1,2003-4-21,True
Keith Hunt,Focused client-driven orchestration,1,2016-6-7,True
Tammy Owens,Mandatory neutral hardware,3,1999-1-19,True
Emily Nolan,Distributed multi-state monitoring,3,2011-1-28,False
Rebecca Salazar,Intuitive encompassing challenge,4,2004-8-23,True
Bryce Roberson,Open-source radical portal,2,1996-7-27,True
Denise Jackson,Switchable bifurcated artificial intelligence,5,1994-4-28,False
Jill Douglas,Optional systemic standardization,5,2006-6-23,False
Joseph Trujillo,Quality-focused object-oriented synergy,1,2001-10-4,True
Logan Roberts,Polarized radical solution,4,2002-9-28,False
Janet Carson,Fully-configurable didactic application,3,2013-7-13,False
Jill Dunn,Realigned zero-defect interface,1,1995-12-6,False
Kristen Harrison,Integrated 24hour adapter,5,2007-9-6,False
Julie Douglas,Configurable maximized algorithm,1,2011-3-2,True
Lauren Olson,Devolved client-server attitude,4,2008-8-5,True
Cathy Bell,De-engineered analyzing success,2,1991-6-9,True
Brittany Freeman,Automated attitude-oriented initiative,1,2002-2-26,False
Lori Williams,Customer-focused next generation model,1,1990-8-4,True
Jessica Bowen,Multi-lateral 24/7 contingency,5,2005-2-22,True
Vickie Wells,Right-sized uniform encoding,2,1995-12-5,True
Kristy Alexander,Profound needs-based parallelism,5,2002-3-8,True
Phillip Anderson,Triple-buffered dedicated archive,4,2020-7-16,True
Cheryl Garcia,Proactive leadingedge migration,4,2019-3-5,True
Jennifer Wall,Universal zero tolerance implementation,2,1997-8-21,False
Christine Cruz,Reduced bifurcated paradigm,2,1999-9-13,False
Shelly Harper,Versatile asymmetric array,3,1991-11-24,False
Michael Thomas,Persevering exuding hardware,5,1995-3-13,False
Scott Fritz,Proactive secondary throughput,1,2008-3-7,True
William Kidd,Quality-focused contextually-based structure,4,2013-11-6,False
Dr. Steven Mann,Multi-channeled 24/7 projection,2,2003-9-27,False
Jessica Navarro,Visionary cohesive middleware,1,1995-6-6,True
David Vazquez,Robust 6thgeneration service-desk,3,2019-12-10,True
Jessica Rivera,Customer-focused fault-tolerant function,2,2018-10-1,False
Stephen Matthews,Multi-lateral bifurcated Local Area Network,5,1993-12-7,True
John Hamilton,Persistent homogeneous artificial intelligence,2,1995-11-20,True
Richard Long,Team-oriented zero-defect solution,1,1991-4-16,True
Tracey Montoya,Assimilated human-resource strategy,2,2018-12-10,False
Taylor Osborn,Sharable systemic policy,2,2012-1-10,True
Michael Andrews,Compatible optimal forecast,3,2013-10-24,False
